id	packet_count
20941	21831	24150
20941	20301	11826
20941	22431	9436
20941	21931	7812
20941	21631	6288
10011	1	5400
10801	1	4787
10301	1	2430
10201	10801	2027
20941	21501	1930
20711	10501	1913
20641	11301	1812
21031	10501	1802
11101	1	1686
50331	10501	1654
20301	11301	1630
22131	11301	1574
20031	11301	1557
40031	10701	1514
30851	30951	1502
50531	10501	1473
10601	11201	1461
20711	11301	1424
20301	10501	1416
40231	10501	1400
10701	10011	1374
10701	10801	1367
61231	60101	1361
21831	10701	1329
22331	10601	1325
10401	10601	1303
21411	10501	1302
60731	60101	1283
11301	11201	1278
21931	10501	1277
10401	10501	1271
10501	10701	1269
10501	11101	1257
22431	11301	1237
22231	10601	1225
61131	60101	1199
21501	10501	1196
21931	11301	1195
10601	10501	1181
11001	10601	1141
61031	60101	1135
10501	10601	1131
31051	60101	1130
11001	10501	1111
21251	10501	1108
22431	21831	1082
60931	60101	1082
30251	21501	1077
22131	10501	1063
22031	21831	1058
20851	21831	1052
60831	60101	1046
20441	11301	1038
60531	60101	1032
21631	11301	1024
61631	60101	1022
40331	10501	1016
10701	1	1010
60101	10501	1004
30651	21411	992
30151	21411	972
11401	11301	972
20541	10601	968
20941	21411	954
21731	21831	945
40131	10501	931
20151	21831	925
62131	21831	924
22531	11301	922
21631	21831	915
22231	21831	905
60201	60101	903
61831	60101	885
22131	21831	884
61431	11401	884
22331	21831	881
21251	10601	875
10301	10801	872
50231	21501	861
61231	11401	852
30151	60101	852
61531	11401	846
61031	11401	842
61831	11401	840
61531	60101	837
61931	21831	825
61731	60101	820
21411	11301	811
30551	21411	809
60531	11401	807
20031	21831	804
21251	21831	803
60831	20301	801
60331	60101	791
10401	21831	789
10101	21831	782
20251	10501	773
20541	21831	772
61731	11401	771
60631	60101	770
11201	10011	767
60531	21501	762
60631	20301	762
20301	21831	754
30151	21501	749
21931	21831	749
30951	21501	748
60331	21501	746
30651	60101	746
40131	40031	743
31131	31301	742
20851	20301	742
21831	11301	737
30451	21411	729
50031	21411	724
10201	10011	721
20541	11301	708
60431	60101	706
30651	21501	705
60201	21411	697
50331	20711	696
61431	60101	696
30251	60101	692
11201	10201	689
61331	60101	681
21831	10601	671
