id	packet_count
20441	10301	7438
10011	1	6285
10801	1	5710
30951	21501	5057
21501	10501	3642
20641	20441	3630
11301	20441	3326
60001	21501	2953
31301	21501	2798
20641	10401	2723
20711	10501	2552
20641	21831	2436
10301	10011	2415
20641	10501	2402
20031	21831	2018
20711	21831	1968
20441	10401	1938
10501	10301	1906
11301	21831	1890
50031	21501	1879
21831	10801	1862
30251	21501	1821
20441	21831	1819
10301	1	1791
10501	10401	1566
31051	21501	1550
21331	21831	1497
30551	21501	1304
30151	21501	1242
50031	20711	1127
21501	20711	1110
60201	60631	1101
30651	21501	1092
11001	21831	1032
50531	20711	960
20441	10501	935
50031	10501	876
20441	10801	868
10501	20441	847
31301	50031	787
11001	10301	740
60001	60201	739
50531	10501	717
60631	20031	699
60201	21501	694
21031	21831	689
21331	10401	670
10301	10201	668
11001	10401	645
60631	20711	635
30951	60001	607
10501	1	603
60001	50531	566
21831	10301	565
30551	30951	528
60201	10401	506
10301	10801	506
30551	31301	506
50031	50531	502
11001	20441	493
21331	20441	482
60631	10401	460
60631	21831	437
60001	50031	410
20711	20641	395
31301	60001	385
20641	11001	371
31051	60631	363
50131	20711	331
30551	50031	307
60201	21831	301
31051	60001	295
21501	60201	262
11001	10501	231
21831	10401	223
60201	20031	223
30751	21501	201
21031	20441	198
10501	11301	198
40231	21831	197
30251	60001	193
20441	11001	186
60201	60001	177
30151	60001	171
10501	20031	167
31251	21501	162
30851	30951	162
60631	21031	160
20711	21331	157
30651	50031	155
30851	31301	154
30651	60001	146
30551	30151	145
10501	11001	137
50331	10501	135
60631	21501	129
30951	31301	126
30951	30551	122
50031	50131	121
20641	20711	118
60201	20641	115
60631	20641	106
20641	10301	105
50331	20711	103
21331	10501	103
40231	11001	100
21031	10401	96
30151	31051	94
31301	30951	92
60631	60201	89
31301	30551	86
21501	50531	84
30951	30151	84
30651	30551	82
30551	30651	79
20031	20641	78
50031	60201	77
30551	60001	75
21331	20641	73
30851	30651	72
30651	30151	71
20641	21501	70
20031	11301	69
50031	31301	68
20441	20711	66
30251	30151	66
60001	30951	65
50531	21501	65
31301	30151	65
50031	60001	64
60001	31301	62
30151	30251	58
30251	30651	58
50331	50531	56
10201	1	54
21031	20641	54
30951	31251	53
31051	30151	52
20031	60631	50
60201	20441	50
50331	21501	50
31301	31051	49
20441	20641	47
30851	30751	47
30951	30651	44
60631	11301	44
40231	10401	43
31051	30951	39
31051	31301	39
30651	31301	38
50531	20441	38
30151	30651	37
10501	20641	36
31301	30651	35
50131	21501	35
10501	21031	35
20641	21331	34
30151	31301	34
40231	20441	34
30751	50031	33
30651	30951	33
11301	20031	31
21031	21331	31
31301	30751	31
30151	30951	31
30551	31251	30
30751	30551	29
50031	30551	28
30751	30151	27
21501	60001	27
30251	30551	26
60001	30151	25
30951	30751	25
30751	60001	25
30651	30751	25
30751	31251	24
21831	10501	23
20031	21031	23
30651	30251	22
20641	11301	22
60001	30651	21
30551	30251	21
31251	60001	21
60201	20711	20
20441	21031	19
10501	21331	19
50131	10501	19
20711	20031	19
60631	60001	18
10401	10201	18
50131	50531	18
31251	30551	17
30151	31251	17
31051	31251	16
31251	30151	16
20441	21331	15
50531	50031	15
30651	60631	14
20641	20031	14
30551	30751	13
11001	20031	13
31251	31051	12
30151	60631	12
31051	20031	12
30251	31301	12
10401	10801	12
20711	21031	11
50531	60001	11
11001	20711	11
30251	30751	11
50531	21831	10
60201	30151	10
20711	60001	10
31301	30251	9
31251	30751	9
20441	20031	8
10401	10501	8
50531	50331	8
21831	20441	8
11301	40231	8
10401	10301	8
30151	60201	8
21331	11001	7
50131	50331	7
40231	10501	7
10501	21501	6
30151	30751	6
20641	21031	6
50331	50131	6
30751	30951	6
50331	60001	6
21331	20031	6
50531	20641	6
21501	30151	5
21831	11001	5
21331	21031	5
21031	10501	5
60631	31301	5
31251	30951	5
50131	50031	5
21501	31301	5
60631	30551	5
21331	20711	4
50031	30751	4
20441	11301	4
20641	40231	3
30751	30651	3
21501	30951	3
30251	60201	3
21831	10201	3
20711	50331	2
10801	10301	2
21331	11301	2
20641	60201	2
21831	20641	2
50531	20031	2
50031	30951	2
40231	20641	2
60201	31051	2
21031	20711	2
21031	11301	2
50331	31301	1
21831	20711	1
10501	60001	1
11001	11301	1
10401	20441	1
21501	20441	1
10011	10301	1
30551	31051	1
20711	50131	1
50131	31301	1
21031	21501	1
20441	21501	1
10301	10401	1
50031	20031	1
30151	30551	1
60001	10501	1
40231	21031	1
21501	30651	1
