id	packet_count
31301	60201	11
40031	10401	52
40031	10501	105
40031	10601	15
40031	10701	898
40031	11001	14
40031	20301	1
40031	40131	1
40131	10301	2
40131	10401	155
40131	10501	200
40131	10601	57
40131	10701	854
40131	11001	91
40131	20251	1
40131	20301	1
40131	40031	80
40131	40231	3
40131	40331	1
40231	10401	97
40231	10501	1152
40231	10601	579
40231	10701	42
40231	11001	839
40231	20031	1
40231	20301	287
40231	20711	18
40231	21411	40
40231	40031	242
40231	40131	146
40231	40331	5
40331	10401	167
40331	10501	323
40331	10601	195
40331	10701	31
40331	11001	286
40331	20031	3
40331	20301	199
40331	20711	6
40331	21031	1
40331	21411	17
40331	40031	20
40331	40131	55
40331	40231	17
50031	10911	4
50031	21411	282
50031	21501	1016
50031	30351	179
50031	30551	24
50031	31301	392
50031	50131	67
50031	50231	2
50031	50331	740
50031	50431	102
50031	50531	131
50031	60001	5
50131	10501	1
50131	20711	2
50131	21411	83
50131	21501	847
50131	30351	52
50131	31301	187
50131	50031	20
50131	50331	739
50131	50431	406
50131	50531	265
50131	60201	51
50231	21411	8
50231	21501	1028
50231	30351	15
50231	31301	150
50231	50031	27
50231	50331	63
50231	50431	272
50231	60001	6
50231	60201	10
50331	10501	1059
50331	20301	937
50331	20711	137
50331	21411	458
50331	21501	385
50331	30351	5
50331	31301	16
50331	50131	3
50331	50431	119
50331	50531	121
50331	60201	13
50431	10501	1538
50431	20031	16
50431	20301	424
50431	20711	124
50431	20941	27
50431	21411	193
50431	21501	165
50431	30251	2
50431	30351	7
50431	30551	1
50431	31051	1
50431	31301	28
50431	50131	2
50431	50331	16
50431	50531	61
50431	60101	1
50431	60201	1
50531	10401	21
50531	10501	760
50531	20031	7
50531	20301	500
50531	20711	73
50531	20941	36
50531	21031	123
50531	21411	478
50531	21501	250
50531	30351	19
50531	31301	83
50531	50131	2
50531	50331	545
50531	50431	187
50531	60201	31
60001	10401	9
60001	20301	9
60001	20711	4
60001	21411	156
60001	21501	146
60001	30351	50
60001	30551	1
60001	30751	1
60001	30851	1
60001	31251	1
60001	31301	98
60001	50031	3
60001	50131	3
60001	50431	101
60001	60101	37
60101	10401	19
60101	20301	246
60101	20711	16
60101	21411	98
60101	21501	37
60101	30351	18
60101	31131	1
60101	31301	29
60101	50431	26
60101	50531	18
60101	60001	1
60101	60201	42
60201	10401	36
60201	10501	821
60201	20301	229
60201	20711	30
60201	21411	169
60201	21501	70
60201	30351	10
60201	31301	48
60201	50131	1
60201	50431	83
60201	50531	61
60201	60001	2
60201	60101	32
