id	packet_count
31251	31301	1005
21731	21831	1005
40031	40131	998
20151	21831	993
20651	20301	992
60331	20031	990
61331	11401	990
20031	20301	989
22131	11001	988
50031	30351	983
22231	11001	983
10201	10701	981
20151	20031	972
31131	60201	972
30651	30551	968
20251	20551	968
20541	10601	968
21631	21831	967
60331	21501	965
21031	20711	963
31301	50031	958
60001	21411	952
21151	10401	951
60001	11401	949
11201	10201	949
20031	20251	948
40331	40031	947
30551	31251	942
22031	11301	940
11201	10801	938
40031	10601	938
22431	11001	936
50031	10501	923
60001	10601	921
30551	31131	921
22231	21831	920
20711	10701	920
61131	11401	920
40231	21831	919
60201	10501	918
40231	11301	915
22131	21831	913
50331	21501	909
20441	21931	907
61631	11401	906
61831	60101	906
20301	20151	902
22331	21831	901
50031	60001	898
21251	10401	896
62031	20031	895
20441	20031	891
20031	10301	888
31131	60001	882
61931	21831	881
21411	20711	880
30551	30651	879
10501	11301	877
11201	10301	877
50131	20711	867
62031	20301	862
31051	30151	859
30451	30551	858
21331	20441	858
10401	11001	856
40331	11001	855
31251	60201	855
61531	60101	854
21411	10401	853
20711	20251	853
30951	31301	851
20851	21411	843
61731	60101	843
21151	20851	842
21831	11301	842
20851	20251	842
20551	20151	838
60101	21411	836
11201	10011	832
50031	60101	831
50231	31301	828
30751	30451	827
50531	21031	826
40331	20301	824
21831	10601	823
30551	60001	822
22531	10601	820
21411	11301	811
60331	60101	810
20301	21831	808
60631	20711	804
30151	62031	802
10911	11101	801
60831	20301	801
40131	11001	798
20541	11301	794
50031	50131	793
21831	10501	793
20551	10301	793
31301	11401	793
10101	21831	790
10401	21831	789
30351	20711	786
31131	60101	785
50331	50531	784
20031	10401	783
21931	21831	783
50531	50331	781
30351	31131	780
60631	60101	780
10501	21251	778
60201	21831	775
30151	60201	774
31301	50531	772
20851	20451	771
20151	20651	768
21631	10501	766
20031	21251	764
30551	30151	763
20711	20641	762
60631	20301	762
20641	21731	760
20251	20031	759
61331	21501	752
10501	1	752
20641	10701	751
20851	21031	747
61231	31131	745
20541	20031	745
62131	20301	743
20031	20941	743
60731	11401	741
20711	21151	738
61431	60101	738
10601	40231	737
60201	31301	736
30451	31251	734
20941	20641	730
10911	10501	728
60631	21501	726
60431	60101	726
60431	11401	724
60831	31131	722
30251	30651	722
10101	10501	721
21031	22231	718
21331	21931	717
30251	11401	715
60631	31131	714
60201	50531	708
40231	40131	704
10501	20031	703
10701	10501	702
21831	11001	700
20711	20941	700
30251	60101	695
21151	20451	695
61331	60101	694
20711	10601	694
20641	10301	693
21631	20301	690
61731	21501	690
10501	10801	690
30151	30351	687
30651	30151	685
21331	20301	684
30251	31251	683
31301	20031	682
30251	30551	678
11001	11101	677
21411	10701	676
20301	10301	673
60331	11401	666
20651	40231	666
62231	11001	666
60931	11401	665
11001	10401	663
60101	11301	662
21501	20551	661
30251	30351	661
50131	21411	659
60001	20711	658
21731	40031	655
21411	21251	651
21151	20031	651
31301	60201	651
61531	21501	651
30651	31251	650
20151	20711	649
30451	30651	645
60631	21411	644
61831	31131	642
30951	30151	642
20951	10401	640
60101	21501	639
21501	11301	637
31301	61931	637
21031	20441	635
10601	20301	629
20651	20551	628
60431	21501	628
31131	21501	626
61031	31131	625
50031	30551	625
60201	61931	625
20941	20251	625
60931	21501	624
30551	30951	622
22531	21831	621
20451	20651	621
20151	11301	615
60101	11401	614
21931	11001	613
30651	30451	612
60201	20031	611
30031	10501	611
20251	20451	607
60001	60101	605
62231	21831	605
60931	31131	601
20301	20651	600
20651	10701	596
21731	11001	595
30751	30151	594
31131	30351	593
10911	10601	590
21731	10501	590
30551	30451	590
20031	10601	589
20951	21251	589
21251	20711	587
20641	22231	586
62131	22131	586
21501	61931	585
20641	20031	585
20441	10601	582
30951	21411	581
20541	10501	579
22031	20301	578
20651	20151	578
20451	21831	577
20251	20851	574
62031	22431	574
20551	20251	569
11101	10701	569
30651	30751	567
21831	10301	566
30351	60201	564
21411	20651	562
21631	11001	561
20151	20551	559
11201	10701	559
30351	50531	559
50531	20031	559
20541	20301	558
50131	31301	558
61931	20711	556
60201	20301	556
20031	21031	554
22231	20301	554
22031	20031	552
11001	40031	549
20301	11001	548
30351	50131	544
31251	30031	542
21331	10601	540
60101	21831	540
40331	40231	540
61331	20031	539
40031	10401	539
21331	10501	538
20851	21151	537
20451	20941	536
11301	10301	536
20941	20441	535
21151	21411	532
31301	60001	530
21501	62231	530
20641	22431	529
20651	20031	528
20541	22031	526
21631	40131	526
22031	21931	524
60101	20711	523
20031	20151	522
21151	20951	522
10401	20301	521
20941	21251	521
60001	50031	520
61431	10101	519
21251	21931	514
20851	20031	512
20651	21251	511
22431	21931	509
61731	61931	509
20441	20301	508
61431	21501	507
20641	22331	507
60531	31131	507
20951	20651	505
21151	20941	505
22431	20301	505
21151	20251	504
21831	10401	504
21031	20851	504
21031	20551	503
30751	31251	503
10601	21251	503
