2015-08-24	77
2015-08-25	77
2015-08-26	76
2015-08-27	76
2015-08-28	79
2015-08-29	76
2015-08-30	76
2015-08-31	74
2015-09-01	74
2015-09-02	74
2015-09-03	74
2015-09-04	73
2015-09-05	73
2015-09-06	73
2015-09-07	72
2015-09-08	72
2015-09-09	72
2015-09-10	72
2015-09-11	72
2015-09-12	72
2015-09-13	72
2015-09-14	71
2015-09-15	71
2015-09-16	71
2015-09-17	70
2015-09-18	70
2015-09-19	70
2015-09-20	19
2015-09-21	67
2015-09-22	67
2015-09-23	67
2015-09-24	5
2015-09-25	5
2015-09-26	11
2015-09-27	64
2015-09-28	64
2015-09-29	63
2015-09-30	61
2015-10-01	61
2015-10-02	60
2015-10-03	60
2015-10-04	59
2015-10-05	59
2015-10-06	59
2015-10-07	59
2015-10-08	59
2015-10-09	58
2015-10-10	57
2015-10-11	58
2015-10-12	4
2015-10-13	4
2015-10-14	4
2015-10-15	4
2015-10-16	4
2015-10-17	5
2015-10-18	56
2015-10-19	56
2015-10-20	56
2015-10-21	83
2015-10-22	82
2015-10-23	82
2015-10-24	82
2015-10-25	82
2015-10-26	81
2015-10-27	81
2015-10-28	80
2015-10-29	80
2015-10-30	80
2015-10-31	80
2015-11-01	80
2015-11-02	80
2015-11-03	79
2015-11-04	79
2015-11-05	71
2015-11-06	65
2015-11-07	50
2015-11-08	45
2015-11-09	44
2015-11-10	44
2015-11-11	43
2015-11-12	41
2015-11-13	41
2015-11-14	41
2015-11-15	41
2015-11-16	41
2015-11-17	40
2015-11-18	40
2015-11-19	40
2015-11-20	40
2015-11-21	38
2015-11-22	38
2015-11-23	37
2015-11-24	37
2015-11-25	37
2015-11-26	36
2015-11-27	36
2015-11-28	36
2015-11-29	35
2015-11-30	35
2015-12-01	33
2015-12-02	33
2015-12-03	33
2015-12-04	33
2015-12-05	33
2015-12-06	32
2015-12-07	31
2015-12-08	28
2015-12-09	28
2015-12-10	27
2015-12-11	27
2015-12-12	27
2015-12-13	27
2015-12-14	27
2015-12-15	27
2015-12-16	26
2015-12-17	26
2015-12-18	26
2015-12-19	26
2015-12-20	26
2015-12-21	26
2015-12-22	26
2015-12-23	26
2015-12-24	26
2015-12-25	26
2015-12-26	25
2015-12-27	25
2015-12-28	25
2015-12-29	25
2015-12-30	25
2015-12-31	25
2016-01-01	24
2016-01-02	23
2016-01-03	23
2016-01-04	23
2016-01-05	22
2016-01-06	21
2016-01-07	18
2016-01-08	18
2016-01-09	18
2016-01-10	18
2016-01-11	16
2016-01-12	16
2016-01-13	15
2016-01-14	15
2016-01-15	15
2016-01-16	15
2016-01-17	15
2016-01-18	14
2016-01-19	14
2016-01-20	14
2016-01-21	14
2016-01-22	14
