temp	frssi
-18.3264285714	-87.25
-17.8781481481	-87.0
-17.3266666667	-88.0
-16.815	-88.375
-16.2157142857	-88.4285714286
-15.66875	-88.375
-15.096	-89.2
-14.62	-88.0
-14.1514285714	-87.1428571429
-13.65	-88.0
-13.1144444444	-87.3333333333
-12.5325	-87.875
-12.083	-88.075
-11.574	-88.9
-11.0955813953	-88.7674418605
-10.5980821918	-89.0684931507
-10.0777941176	-89.2352941176
-9.56767123288	-87.4657534247
-9.05464788732	-86.9436619718
-8.57345238095	-87.3571428571
-8.0723	-87.43
-7.57391304348	-87.2434782609
-7.12204819277	-87.9638554217
-6.54803030303	-87.5
-6.11109589041	-87.2602739726
-5.5886440678	-87.6440677966
-5.0808	-88.3
-4.5305	-89.0
-4.04079545455	-89.3977272727
-3.53230215827	-89.8992805755
-3.05149812734	-90.5393258427
-2.54863501484	-90.118694362
-2.07045602606	-90.1400651466
-1.53169054441	-90.0544412607
-1.02873096447	-89.3553299492
-0.565752508361	-89.4448160535
-0.0500595238095	-89.8125
0.458645833333	-89.6145833333
0.9552	-89.8
1.4553030303	-89.9431818182
1.96218518519	-89.7777777778
2.45568690096	-89.447284345
2.93779591837	-89.8489795918
3.42930232558	-89.8837209302
3.96331683168	-89.3663366337
4.47056886228	-89.6347305389
4.96432727273	-90.2145454545
5.45229508197	-90.5942622951
5.96173410405	-90.9132947977
6.46068441065	-90.3840304183
6.92574912892	-89.9547038328
7.4645703125	-90.9296875
7.97178988327	-91.046692607
8.45415929204	-91.0265486726
8.95096385542	-91.0361445783
9.45213483146	-90.8651685393
9.96807560137	-90.824742268
10.4453114754	-90.8524590164
10.9669611307	-90.406360424
11.4650135501	-90.5691056911
11.937700831	-90.9916897507
12.4397590361	-91.2530120482
12.9524923077	-91.1753846154
13.4483275261	-91.031358885
13.9618374558	-90.7137809187
14.4565231788	-90.5728476821
14.9655442177	-90.5306122449
15.4586551724	-90.6275862069
15.9555727554	-90.2012383901
16.475546875	-90.54296875
16.9515151515	-90.5656565657
17.4544027304	-90.5802047782
17.9329090909	-90.1381818182
18.4447252747	-90.2417582418
18.9307608696	-90.7173913043
19.4322558923	-90.5555555556
19.9603111111	-90.1733333333
20.4616371681	-90.2566371681
20.9544630872	-90.4865771812
21.4596138996	-90.6061776062
21.9545416667	-90.15
22.4608914729	-89.6860465116
22.9306437768	-89.6094420601
23.4513533835	-88.992481203
23.9454166667	-88.675
24.4845859873	-89.3184713376
24.9441040462	-89.5260115607
25.4457228916	-89.8614457831
25.9661904762	-89.5952380952
26.4655555556	-88.625
27.0051041667	-87.8125
27.4590217391	-87.5760869565
27.9533858268	-87.811023622
28.4604545455	-88.6818181818
29.0134482759	-87.1724137931
29.5522857143	-88.0857142857
30.0416666667	-86.2
30.572	-85.9
31.0928571429	-85.4285714286
31.6414285714	-86.5
32.2125	-84.25
32.864	-85.0
