id	packet_count
10011	1	11150
10011	10101	22
10011	10201	20
10011	10301	4
10011	10801	15
10101	1	17262
10101	10011	131
10101	10201	170
10101	10301	115
10101	10701	3
10101	10801	368
10101	11101	129
10201	1	9525
10201	10011	213
10201	10101	1461
10201	10201	1
10201	10301	676
10201	10701	399
10201	10801	3152
10201	11001	1
10201	11101	127
10301	1	7610
10301	10011	1340
10301	10101	732
10301	10201	1835
10301	10501	10
10301	10601	6
10301	10701	1090
10301	10801	3540
10301	10911	43
10301	11001	730
10301	11101	805
10401	10301	2
10401	10401	1
10401	10501	905
10401	10601	592
10401	10701	187
10401	10911	4
10401	11001	679
10401	20031	143
10401	20151	124
10401	20251	57
10401	20301	131
10401	20451	106
10401	20551	71
10401	20651	171
10401	20711	55
10401	20851	40
10401	20941	31
10401	20951	21
10401	21031	14
10401	21151	6
10401	21251	830
10401	21411	35
10401	31131	1
10401	31301	5
10401	40031	914
10401	40131	199
10401	40231	3
10401	40331	58
10401	50431	7
10401	60001	52
10401	60201	1
10501	10101	48
10501	10201	15
10501	10301	1056
10501	10401	842
10501	10501	12
10501	10601	1767
10501	10701	3914
10501	10801	28
10501	10911	6
10501	11001	1329
10501	11101	18
10501	20031	62
10501	20151	33
10501	20251	34
10501	20301	351
10501	20451	114
10501	20551	219
10501	20651	245
10501	20711	286
10501	20851	26
10501	20941	3
10501	20951	4
10501	21031	32
10501	21151	7
10501	21251	386
10501	21411	119
10501	21501	2
10501	31131	5
10501	31301	23
10501	40031	308
10501	40131	133
10501	40231	91
10501	40331	24
10501	50431	10
10501	50531	13
10501	60001	59
10601	10201	154
10601	10301	203
10601	10401	254
10601	10501	1399
10601	10601	6
10601	10701	4303
10601	10801	1
10601	10911	27
10601	11001	769
10601	20031	105
10601	20151	18
10601	20301	192
10601	20451	19
10601	20551	94
10601	20651	208
10601	20711	53
10601	20951	10
10601	21151	6
10601	21251	495
10601	21411	87
10601	31131	2
10601	40031	1025
10601	40131	1374
10601	40231	708
10601	40331	270
10601	50531	1
10601	60001	142
10701	1	2559
10701	10011	687
10701	10101	197
10701	10201	2002
10701	10301	3661
10701	10401	5
10701	10501	271
10701	10601	97
10701	10701	15
10701	10801	1744
10701	10911	355
10701	11001	2659
10701	11101	423
10701	20031	1
10701	20301	82
10701	20451	1
10701	20551	2
10701	20651	11
10701	20711	2
10701	21251	64
10701	21411	6
10701	40031	33
10701	40131	42
10701	40231	7
10801	1	18183
10801	10011	2
10801	10101	3
10801	10301	2
10911	10301	4042
10911	10401	46
10911	10501	687
10911	10601	583
10911	10701	2935
10911	10801	17
10911	11001	2508
10911	11101	2
10911	20031	17
10911	60001	85
11001	1	169
11001	10011	410
11001	10101	1784
11001	10201	2193
11001	10301	3537
11001	10401	17
11001	10501	114
11001	10601	139
11001	10701	4309
11001	10801	1155
11001	10911	260
11001	11101	279
11001	20031	13
11001	20301	22
11001	20651	6
11001	21251	6
11001	21411	4
11001	40031	14
11001	40131	23
11001	40231	5
11001	40331	6
11001	60001	4
11101	1	5249
11101	10011	638
11101	10101	1248
11101	10301	650
11101	10701	127
11101	10801	1389
11101	11001	57
20031	10401	192
20031	10501	1874
20031	10601	580
20031	10701	90
20031	11001	300
20031	20031	2
20031	20151	521
20031	20251	845
20031	20301	186
20031	20451	350
20031	20551	307
20031	20651	1071
20031	20711	872
20031	20851	413
20031	20941	349
20031	20951	179
20031	21031	436
20031	21151	31
20031	21251	743
20031	21411	293
20031	21501	27
20031	31131	9
20031	31301	38
20031	40031	39
20031	40131	3
20031	40231	8
20031	50331	1
20031	50431	24
20031	50531	13
20031	60001	370
20031	60101	11
20151	10401	992
20151	10501	904
20151	10601	1951
20151	10701	3
20151	20031	395
20151	20151	1
20151	20251	343
20151	20301	630
20151	20451	365
20151	20551	606
20151	20651	757
20151	20711	505
20151	20851	91
20151	20941	102
20151	20951	25
20151	21031	79
20151	21151	53
20151	21251	1336
20151	21411	71
20151	40031	1
20151	40131	8
20151	40231	1
20151	40331	258
20151	60001	268
20251	10401	926
20251	10501	1203
20251	10601	11
20251	10701	3
20251	20031	542
20251	20151	1033
20251	20251	1
20251	20301	685
20251	20451	369
20251	20551	664
20251	20651	909
20251	20711	759
20251	20851	286
20251	20941	100
20251	20951	173
20251	21031	213
20251	21151	119
20251	21251	639
20251	21411	198
20251	50431	2
20251	50531	23
20251	60001	115
20251	60101	2
20301	10201	59
20301	10301	265
20301	10401	300
20301	10501	1602
20301	10601	1353
20301	10701	48
20301	11001	1
20301	20031	537
20301	20151	864
20301	20251	33
20301	20301	3
20301	20451	543
20301	20551	491
20301	20651	544
20301	20711	723
20301	20851	278
20301	20941	7
20301	20951	81
20301	21151	65
20301	21251	228
20301	21411	95
20301	21501	20
20301	31131	8
20301	31301	24
20301	40031	73
20301	40131	191
20301	40231	7
20301	50131	1
20301	50431	11
20301	60001	35
20301	60101	6
20301	60201	1
20451	10401	1122
20451	10501	1312
20451	10601	152
20451	10701	15
20451	11001	1
20451	20031	331
20451	20151	175
20451	20251	249
20451	20301	641
20451	20551	784
20451	20651	420
20451	20711	397
20451	20851	251
20451	20941	146
20451	20951	69
20451	21031	127
20451	21151	106
20451	21251	257
20451	21411	148
20451	31131	6
20451	40231	4
20451	50431	2
20451	60001	175
20451	60101	10
20551	10401	746
20551	10501	1252
20551	10601	3579
20551	10701	424
20551	11001	10
20551	20031	703
20551	20151	784
20551	20251	404
20551	20301	501
20551	20451	214
20551	20551	1
20551	20651	1882
20551	20711	597
20551	20851	409
20551	20941	25
20551	20951	376
20551	21031	85
20551	21151	100
20551	21251	1528
20551	21411	164
20551	31131	2
20551	31301	1
20551	40131	1
20551	50431	2
20551	60001	166
20551	60101	1
20651	10401	338
20651	10501	1983
20651	10601	1350
20651	10701	520
20651	11001	261
20651	20031	376
20651	20151	467
20651	20251	264
20651	20301	462
20651	20451	185
20651	20551	197
20651	20711	355
20651	20851	260
20651	20951	108
20651	21031	145
20651	21151	82
20651	21251	370
20651	21411	202
20651	40031	8
20651	40231	666
20651	40331	73
20651	60001	225
20711	10401	526
20711	10501	1558
20711	10601	693
20711	10701	2
20711	11001	101
20711	20031	438
20711	20151	169
20711	20251	256
20711	20301	613
20711	20451	280
20711	20551	936
20711	20651	1126
20711	20711	1
20711	20851	675
20711	20941	5
20711	20951	267
20711	21031	91
20711	21151	137
20711	21251	1284
20711	21411	232
20711	21501	6
20711	30151	1
20711	30351	4
20711	31131	8
20711	31301	7
20711	40131	78
20711	40231	266
20711	50431	32
20711	50531	1
20711	60001	162
20711	60101	1
20851	10401	1126
20851	10501	1396
20851	10601	25
20851	10701	2
20851	11001	1
20851	20031	430
20851	20151	215
20851	20251	339
20851	20301	906
20851	20451	454
20851	20551	940
20851	20651	1106
20851	20711	820
20851	20941	89
20851	20951	203
20851	21031	332
20851	21151	180
20851	21251	768
20851	21411	289
20851	21501	12
20851	31051	2
20851	31301	37
20851	40031	1
20851	50531	3
20851	60001	192
20941	10401	835
20941	10501	1
20941	11101	9
20941	20031	48
20941	20151	305
20941	20251	212
20941	20301	195
20941	20451	122
20941	20551	176
20941	20651	58
20941	20711	226
20941	20851	7
20941	21031	174
20941	21151	71
20941	21251	1
20941	21411	33
20941	21501	1
20941	40231	1
20941	50431	3
20941	50531	45
20951	10401	632
20951	10501	371
20951	10601	187
20951	20031	397
20951	20151	33
20951	20251	113
20951	20301	456
20951	20451	161
20951	20551	122
20951	20651	505
20951	20711	370
20951	20851	157
20951	20951	1
20951	21031	120
20951	21151	132
20951	21251	581
20951	21411	157
20951	21501	2
20951	31131	43
20951	31301	3
20951	40131	40
20951	50431	7
20951	50531	28
20951	60001	200
20951	60101	9
21031	10401	503
21031	10501	1175
21031	10601	1
21031	20031	230
21031	20151	232
21031	20251	427
21031	20301	237
21031	20451	201
21031	20551	452
21031	20651	329
21031	20711	502
21031	20851	370
21031	20941	240
21031	20951	78
21031	21151	52
21031	21251	226
21031	21411	58
21031	21501	6
21031	40031	1
21031	50531	52
21031	60001	127
21151	10401	55
21151	10501	605
21151	10601	16
21151	10701	1
21151	11001	2
21151	20031	523
21151	20151	283
21151	20251	190
21151	20301	804
21151	20451	448
21151	20551	819
21151	20651	930
21151	20711	1312
21151	20851	567
21151	20941	236
21151	20951	518
21151	21031	383
21151	21251	836
21151	21411	175
21151	21501	6
21151	31131	16
21151	31301	63
21151	40131	36
21151	40331	1
21151	50431	7
21151	50531	32
21151	60001	60
21151	60101	3
21251	10401	126
21251	10501	578
21251	10601	521
21251	10701	1783
21251	20031	82
21251	20151	62
21251	20251	3
21251	20301	48
21251	20451	10
21251	20551	56
21251	20651	160
21251	20711	56
21251	20851	8
21251	20951	47
21251	21031	13
21251	21151	8
21251	21251	4
21251	21411	6
21251	40031	37
21251	40131	15
21251	60001	73
21411	10401	94
21411	10501	850
21411	10601	230
21411	10701	265
21411	11001	2
21411	20031	1074
21411	20151	1
21411	20251	333
21411	20301	996
21411	20451	96
21411	20551	38
21411	20651	258
21411	20711	478
21411	20851	163
21411	20951	26
21411	21031	216
21411	21151	28
21411	21251	295
21411	21411	2
21411	21501	30
21411	30351	16
21411	30451	2
21411	31051	4
21411	31131	7
21411	31301	61
21411	40031	24
21411	40131	59
21411	40231	1
21411	50331	9
21411	50431	61
21411	50531	314
21411	60001	11
21411	60101	40
21411	60201	7
21501	10401	90
21501	10501	714
21501	20031	422
21501	20251	30
21501	20301	363
21501	20451	12
21501	20551	39
21501	20651	12
21501	20711	190
21501	20851	64
21501	20951	4
21501	21031	380
21501	21151	80
21501	21251	3
21501	21411	1158
21501	30151	142
21501	30251	29
21501	30351	128
21501	30451	5
21501	30551	40
21501	30651	160
21501	30751	53
21501	31051	7
21501	31131	214
21501	31251	194
21501	31301	433
21501	40231	1
21501	50031	121
21501	50131	62
21501	50231	28
21501	50331	8
21501	50431	439
21501	50531	886
21501	60001	60
21501	60101	179
21501	60201	223
21831	20251	1
30151	10501	1
30151	11001	1
30151	20301	95
30151	20711	156
30151	21411	925
30151	21501	900
30151	30251	94
30151	30351	576
30151	30451	164
30151	30551	87
30151	30651	112
30151	30751	43
30151	30951	23
30151	31051	40
30151	31131	475
30151	31251	371
30151	31301	895
30151	50031	41
30151	50131	1
30151	50431	629
30151	60001	11
30151	60101	406
30151	60201	376
30251	10501	1
30251	10601	1
30251	20031	2
30251	20651	1
30251	20711	1
30251	21411	46
30251	21501	1179
30251	30151	860
30251	30351	277
30251	30551	250
