id	packet_count
10011	1	4249
10301	1	3014
10301	10011	213
10301	10201	188
10301	10401	1
10301	10701	45
10301	10801	201
10301	11301	1
10501	1	154
10501	10401	634
10501	10701	1316
10501	10801	150
10501	11101	377
10501	11301	332
10501	20031	118
10501	20441	283
10501	20541	1
10501	20641	83
10501	21031	40
10501	21251	14
10501	21501	7
10501	21631	5
10501	21731	1
10501	22031	2
10501	22131	3
10501	22531	5
10601	11001	1
10601	20151	1
10601	20301	55
10601	21631	1
10601	21731	42
10601	21931	60
10601	22131	55
10601	22231	1
10601	22331	2
10601	22531	1
10701	1	699
10701	10011	17
10701	10201	10
10701	10301	16
10701	10801	13
10801	1	3901
10911	10301	721
10911	10701	627
10911	11101	34
11001	10301	731
11001	10501	147
11001	10701	1774
11001	11101	276
11001	11301	24
11001	20031	7
11001	20441	104
11001	20541	5
11001	20711	10
11001	21831	382
11101	1	190
11101	10011	150
11101	10201	406
11101	10301	413
11101	10401	2
11101	10701	400
11101	10801	442
11301	10701	2118
11301	20031	9
11301	20441	290
11301	20541	12
11301	21731	2
11301	21831	965
11301	21931	6
11301	22031	3
11301	22131	7
11301	22231	1
11301	22331	1
11301	40131	33
11301	40231	126
11301	40331	3
11401	10401	244
11401	20151	56
11401	21031	9
11401	21501	84
11401	21631	148
11401	21831	42
11401	22231	202
11401	22531	151
11401	31131	105
11401	31301	2
11401	60001	2
11401	60331	3
11401	61331	8
11401	61731	1
11401	61931	58
11401	62031	64
11401	62131	67
20031	10501	1
20031	11301	1401
20031	11401	6
20031	20251	87
20031	20301	8
20031	21031	34
20031	21631	44
20031	21831	1418
20031	21931	19
20031	22031	56
20031	22131	61
20031	22231	64
20031	22331	66
20031	22531	16
20031	60101	9
20031	60631	38
20031	62031	14
20031	62131	7
20151	10501	10
20151	11001	24
20151	11401	6
20151	20031	164
20151	20301	80
20151	20441	106
20151	20541	2
20151	20641	38
20151	20711	97
20151	21331	3
20151	21731	77
20151	21831	12
20151	21931	98
20151	22031	25
20151	22131	114
20151	22231	145
20151	22331	10
20151	22431	72
20151	22531	147
20151	50431	1
20251	10401	142
20251	10501	253
20251	20031	129
20251	20151	10
20251	20301	29
20251	20441	194
20251	20541	25
20251	20641	154
20251	20711	111
20251	20851	3
20251	20941	4
20251	21031	2
20251	21251	10
20251	21331	6
20251	21631	106
20251	21731	105
20251	21831	141
20251	21931	54
20251	22031	5
20251	22131	28
20251	22231	50
20251	22331	172
20251	22431	2
20251	62131	1
20251	62231	2
20301	10401	21
20301	11301	414
20301	20031	15
20301	21631	8
20301	21731	7
20301	21831	4
20301	21931	19
20301	22131	8
20301	22231	14
20301	22531	7
20301	50431	1
20441	10301	1161
20441	10401	1104
20441	10501	806
20441	10601	4
20441	10701	480
20441	11001	2445
20441	11101	8
20441	11301	59
20441	11401	4
20441	20031	180
20441	20151	10
20441	20251	7
20441	20301	122
20441	20541	14
20441	20641	173
20441	20711	159
20441	20851	3
20441	20941	6
20441	21031	31
20441	21251	26
20441	21331	69
20441	21501	1
20441	21631	3
20441	21731	22
20441	21831	1089
20441	21931	311
20441	22031	22
20441	22131	269
20441	22331	23
20441	22431	149
20441	22531	160
20441	50431	22
20441	61931	4
20441	62131	3
20441	62231	114
20541	10401	142
20541	10501	290
20541	11001	287
20541	11101	1
20541	11301	89
20541	11401	1
20541	20031	288
20541	20151	8
20541	20251	7
20541	20301	200
20541	20441	276
20541	20641	287
20541	20711	244
20541	20851	1
20541	21031	14
20541	21251	9
20541	21331	18
20541	21631	63
20541	21731	269
20541	21831	146
20541	21931	526
20541	22031	450
20541	22131	47
20541	22331	7
20541	22431	183
20541	22531	131
20541	30031	1
20541	31131	1
20541	50431	8
20541	61931	2
20541	62031	1
20541	62131	1
20541	62231	31
20641	10401	1013
20641	10501	151
20641	10701	751
20641	11001	1772
20641	11101	118
20641	11301	206
20641	11401	5
20641	20031	233
20641	20151	14
20641	20251	4
20641	20301	120
20641	20441	536
20641	20541	28
20641	20711	91
20641	20941	19
20641	21031	21
20641	21251	34
20641	21331	92
20641	21731	191
20641	21831	1345
20641	22031	53
20641	22131	144
20641	22231	255
20641	22331	238
20641	22431	133
20641	22531	262
20641	30031	1
20641	40231	428
20641	50431	55
20641	61931	3
20641	62131	1
20641	62231	73
20711	10501	1233
20711	11401	9
20711	20031	132
20711	20151	5
20711	20301	63
20711	20641	258
20711	20941	29
20711	21031	10
20711	21151	1
20711	21331	80
20711	21631	1
20711	21831	1157
20711	21931	90
20711	22031	84
20711	22131	116
20711	22331	42
20711	22531	69
20711	50131	5
20711	50331	18
20711	50431	60
20711	60001	23
20711	62031	5
20711	62131	6
20851	10401	189
20851	10501	22
20851	11401	23
20851	20031	49
20851	20151	13
20851	20251	67
20851	20301	35
20851	20441	435
20851	20541	61
20851	20641	396
20851	20711	152
20851	20941	91
20851	21031	82
20851	21151	13
20851	21251	72
20851	21331	27
20851	21631	53
20851	21731	234
20851	21831	626
20851	21931	35
20851	50431	206
20851	62031	6
20851	62131	17
20941	10401	1191
20941	20031	402
20941	20251	49
20941	20301	71
20941	20441	535
20941	20541	26
20941	20641	616
20941	20711	398
20941	20851	55
20941	21031	133
20941	21151	26
20941	21831	499
