temp	frssi
-18.3264285714	-87.25
-17.8781481481	-87.0
-17.3266666667	-88.0
-16.815	-88.375
-16.2157142857	-88.4285714286
-15.66875	-88.375
-15.096	-89.2
-14.62	-88.0
-14.1514285714	-87.1428571429
-13.65	-88.0
-13.1144444444	-87.3333333333
-12.5325	-87.875
-12.083	-88.075
-11.574	-88.9
-11.0955813953	-88.7674418605
-10.6005882353	-89.3676470588
-10.0823333333	-89.8
-9.57333333333	-89.0
-9.05972972973	-88.8108108108
-8.54921568627	-88.8235294118
-8.03480519481	-88.3896103896
-7.54967391304	-87.8369565217
-7.08140350877	-88.8421052632
-6.50517857143	-88.1607142857
-6.08660377358	-87.6603773585
-5.55688888889	-88.7333333333
-5.07414634146	-89.0243902439
-4.49431372549	-90.3529411765
-4.00881578947	-89.5394736842
-3.50032786885	-89.9672131148
-3.01219827586	-90.5215517241
-2.5035483871	-90.1290322581
-2.02329113924	-89.8607594937
-1.49302040816	-89.4081632653
-0.996337579618	-88.9363057325
-0.518805309735	-88.9690265487
-0.0315865384615	-89.0961538462
0.496815920398	-88.9253731343
0.995085714286	-89.0114285714
1.49375	-88.5723684211
2.00959302326	-89.0639534884
2.48362831858	-88.982300885
2.9903649635	-88.9854014599
3.46496774194	-89.1225806452
4.00613636364	-88.0909090909
4.49433333333	-88.3833333333
5.01290322581	-88.4838709677
5.4795890411	-88.6575342466
6.00294117647	-88.7941176471
6.52137931034	-87.5862068966
6.95891566265	-88.686746988
7.47265306122	-88.5510204082
7.973125	-88.75
8.45363636364	-88.0
9.04157894737	-88.6315789474
9.55677419355	-88.4838709677
10.102	-88.7714285714
10.4736	-88.6
11.0142424242	-87.3636363636
11.5632258065	-86.8387096774
12.0853846154	-87.5384615385
12.58	-89.2857142857
13.0785714286	-89.7142857143
13.62	-87.25
14.3166666667	-91.0
14.7466666667	-91.0
15.3333333333	-92.0
15.8836363636	-91.5454545455
